seed_a,seed_b,spearman,jaccard_top5,jaccard_top10
0,1,0.950036,0.626374,0.68
0,2,0.939071,0.48,0.661017
0,3,0.946723,0.557895,0.709302
0,4,0.936282,0.557895,0.633333
0,5,0.942344,0.608696,0.689655
0,6,0.934482,0.662921,0.661017
0,7,0.952394,0.644444,0.719298
0,8,0.947544,0.574468,0.642458
0,9,0.932571,0.591398,0.624309
0,10,0.936917,0.541667,0.642458
0,11,0.944318,0.626374,0.633333
0,12,0.94657,0.541667,0.689655
0,13,0.94033,0.494949,0.651685
0,14,0.951117,0.574468,0.689655
0,15,0.927647,0.557895,0.597826
0,16,0.943591,0.525773,0.642458
0,17,0.943938,0.608696,0.670455
0,18,0.947833,0.608696,0.651685
0,19,0.939821,0.608696,0.651685
0,20,0.928354,0.494949,0.661017
0,21,0.946144,0.681818,0.709302
0,22,0.926903,0.591398,0.606557
0,23,0.940158,0.525773,0.624309
0,24,0.944956,0.591398,0.689655
0,25,0.939544,0.494949,0.661017
0,26,0.944959,0.48,0.633333
0,27,0.939862,0.557895,0.651685
0,28,0.94149,0.541667,0.661017
0,29,0.94586,0.608696,0.642458
1,2,0.943123,0.574468,0.661017
1,3,0.947516,0.608696,0.699422
1,4,0.948639,0.608696,0.68
1,5,0.946893,0.557895,0.689655
1,6,0.937649,0.608696,0.624309
1,7,0.95244,0.701149,0.709302
1,8,0.947872,0.608696,0.661017
1,9,0.94313,0.557895,0.633333
1,10,0.948714,0.626374,0.709302
1,11,0.937726,0.662921,0.661017
1,12,0.934191,0.574468,0.68
1,13,0.936266,0.541667,0.615385
1,14,0.947215,0.608696,0.68
1,15,0.929996,0.591398,0.606557
1,16,0.948211,0.644444,0.642458
1,17,0.950544,0.591398,0.689655
1,18,0.944244,0.626374,0.670455
1,19,0.945495,0.591398,0.689655
1,20,0.939663,0.574468,0.670455
1,21,0.950893,0.662921,0.670455
1,22,0.935311,0.591398,0.633333
1,23,0.938121,0.541667,0.589189
1,24,0.946821,0.574468,0.670455
1,25,0.947184,0.608696,0.661017
