parameter,value,seed,spearman_vs_baseline,jaccard_top5_vs_baseline,jaccard_top10_vs_baseline,elapsed_s
n_estimators,100,0,0.92606,0.574468,0.615385,0.065
n_estimators,100,1,0.921889,0.525773,0.606557,0.058
n_estimators,100,2,0.920996,0.608696,0.589189,0.065
n_estimators,100,3,0.928185,0.626374,0.615385,0.064
n_estimators,100,4,0.922383,0.541667,0.589189,0.062
n_estimators,100,5,0.917519,0.525773,0.615385,0.066
n_estimators,100,6,0.927726,0.557895,0.589189,0.063
n_estimators,100,7,0.90605,0.525773,0.606557,0.067
n_estimators,100,8,0.935986,0.591398,0.651685,0.06
n_estimators,100,9,0.917837,0.626374,0.606557,0.062
n_estimators,200,0,0.942125,0.541667,0.689655,0.116
n_estimators,200,1,0.944403,0.608696,0.699422,0.11
n_estimators,200,2,0.952005,0.701149,0.689655,0.113
n_estimators,200,3,0.947976,0.681818,0.689655,0.118
n_estimators,200,4,0.943188,0.626374,0.670455,0.117
n_estimators,200,5,0.946262,0.574468,0.699422,0.121
n_estimators,200,6,0.945696,0.662921,0.651685,0.117
n_estimators,200,7,0.945623,0.608696,0.699422,0.115
n_estimators,200,8,0.951799,0.644444,0.689655,0.114
n_estimators,200,9,0.943001,0.626374,0.68,0.12
n_estimators,300,0,0.94917,0.541667,0.719298,0.171
n_estimators,300,1,0.956205,0.591398,0.75,0.173
n_estimators,300,2,0.959247,0.701149,0.719298,0.174
n_estimators,300,3,0.955836,0.644444,0.729412,0.164
n_estimators,300,4,0.95686,0.681818,0.689655,0.171
n_estimators,300,5,0.959647,0.626374,0.739645,0.167
n_estimators,300,6,0.955901,0.626374,0.670455,0.179
n_estimators,300,7,0.954967,0.626374,0.729412,0.173
n_estimators,300,8,0.95294,0.681818,0.699422,0.172
n_estimators,300,9,0.951329,0.662921,0.719298,0.19
n_estimators,500,0,0.956963,0.557895,0.729412,0.292
n_estimators,500,1,0.965458,0.608696,0.75,0.284
n_estimators,500,2,0.967913,0.681818,0.760479,0.283
n_estimators,500,3,0.958116,0.681818,0.75,0.276
n_estimators,500,4,0.959109,0.72093,0.760479,0.294
n_estimators,500,5,0.966517,0.644444,0.771084,0.275
n_estimators,500,6,0.960739,0.626374,0.739645,0.295
n_estimators,500,7,0.962397,0.662921,0.75,0.275
n_estimators,500,8,0.961809,0.681818,0.760479,0.277
n_estimators,500,9,0.961754,0.574468,0.771084,0.305
max_samples,128,0,0.941478,0.525773,0.661017,0.115
max_samples,128,1,0.942879,0.591398,0.670455,0.116
max_samples,128,2,0.949594,0.662921,0.719298,0.118
max_samples,128,3,0.954715,0.557895,0.651685,0.114
max_samples,128,4,0.944323,0.574468,0.642458,0.112
max_samples,128,5,0.939477,0.557895,0.642458,0.113
