employee_index,baseline_rank,mean_score,std_score,min_score,max_score,cv
918,1,0.607973,0.007101,0.591805,0.620368,1.17
1301,2,0.586071,0.008752,0.56286,0.601025,1.49
1116,3,0.585302,0.008588,0.568057,0.614233,1.47
749,4,0.581542,0.009178,0.559294,0.598497,1.58
861,5,0.592925,0.008602,0.573121,0.609875,1.45
237,6,0.585671,0.008918,0.571146,0.612498,1.52
913,7,0.57987,0.005924,0.562444,0.589833,1.02
171,8,0.594386,0.005913,0.581197,0.606029,0.99
1086,9,0.583951,0.007391,0.570367,0.60324,1.27
427,10,0.590378,0.006704,0.576694,0.601641,1.14
875,11,0.572293,0.008853,0.550698,0.588169,1.55
411,12,0.567001,0.00887,0.550701,0.581981,1.56
445,13,0.561831,0.009865,0.540119,0.587234,1.76
178,14,0.57148,0.008982,0.5494,0.587232,1.57
119,15,0.571846,0.006359,0.557266,0.582869,1.11
595,16,0.577159,0.010187,0.564467,0.59969,1.77
561,17,0.567334,0.010646,0.544321,0.587556,1.88
544,18,0.570832,0.008246,0.556079,0.584678,1.44
401,19,0.568841,0.007025,0.556311,0.582958,1.23
1447,20,0.560435,0.010928,0.541716,0.589703,1.95
