seed,spearman_vs_baseline,jaccard_top5_vs_baseline,jaccard_top10_vs_baseline,fixed_category_agreement,fixed_category_kappa,p90_relative,p95_relative,n_tinggi_fixed,n_sedang_fixed,n_rendah_fixed,elapsed_s
0,0.942125,0.541667,0.689655,0.939456,0.647385,0.526449,0.537842,62,62,1346,0.176
1,0.944403,0.608696,0.699422,0.946939,0.705827,0.527871,0.539989,69,70,1331,0.117
2,0.952005,0.701149,0.689655,0.948299,0.709637,0.528012,0.54217,80,55,1335,0.127
3,0.947976,0.681818,0.689655,0.945578,0.712999,0.529579,0.543799,86,69,1315,0.114
4,0.943188,0.626374,0.670455,0.946939,0.702008,0.527227,0.539083,64,71,1335,0.116
5,0.946262,0.574468,0.699422,0.938095,0.685982,0.531725,0.54444,95,73,1302,0.114
6,0.945696,0.662921,0.651685,0.933333,0.672411,0.532103,0.542537,81,98,1291,0.112
7,0.945623,0.608696,0.699422,0.943537,0.690932,0.528583,0.540361,72,71,1327,0.125
8,0.951799,0.644444,0.689655,0.947619,0.711446,0.527791,0.541149,74,67,1329,0.112
9,0.943001,0.626374,0.68,0.942177,0.669902,0.526971,0.538605,66,64,1340,0.111
10,0.946122,0.626374,0.709302,0.947619,0.712359,0.528077,0.541464,78,64,1328,0.117
11,0.936487,0.591398,0.661017,0.936054,0.655424,0.529051,0.541772,75,73,1322,0.115
12,0.949387,0.681818,0.689655,0.938776,0.681014,0.530749,0.545185,88,71,1311,0.115
13,0.950835,0.574468,0.699422,0.939456,0.672731,0.52869,0.541824,77,70,1323,0.111
14,0.950521,0.574468,0.689655,0.940816,0.683049,0.529208,0.54371,89,61,1320,0.109
15,0.94865,0.681818,0.642458,0.932653,0.662339,0.532078,0.544513,95,77,1298,0.121
16,0.947728,0.644444,0.661017,0.944218,0.685709,0.526135,0.538692,60,74,1336,0.112
17,0.952166,0.557895,0.68,0.938095,0.666426,0.529241,0.540178,70,78,1322,0.11
18,0.941781,0.626374,0.719298,0.944898,0.703994,0.529207,0.543699,85,64,1321,0.114
19,0.940951,0.557895,0.68,0.935374,0.662283,0.530075,0.542204,78,80,1312,0.117
20,0.948976,0.591398,0.75,0.947619,0.727088,0.530567,0.544554,91,68,1311,0.114
21,0.947971,0.574468,0.68,0.938776,0.662731,0.528451,0.539782,72,69,1329,0.111
22,0.945916,0.662921,0.689655,0.931293,0.662373,0.532671,0.54696,95,84,1291,0.113
23,0.953937,0.626374,0.624309,0.933333,0.644082,0.529771,0.543711,84,67,1319,0.115
24,0.95222,0.626374,0.699422,0.944218,0.697526,0.528614,0.541325,76,70,1324,0.116
25,0.948545,0.608696,0.709302,0.938095,0.682255,0.530996,0.545215,92,72,1306,0.118
26,0.950296,0.681818,0.699422,0.947619,0.71052,0.527278,0.542128,78,62,1330,0.119
27,0.94437,0.608696,0.68,0.943537,0.697632,0.529285,0.541268,75,75,1320,0.113
28,0.946623,0.574468,0.689655,0.940816,0.667619,0.526646,0.54041,71,64,1335,0.111
29,0.94541,0.608696,0.651685,0.945578,0.687252,0.526077,0.540171,69,59,1342,0.119
