employee_index,selected_runs,total_runs,selection_frequency
838,30,30,1.0
746,30,30,1.0
1447,30,30,1.0
1116,30,30,1.0
411,30,30,1.0
1301,30,30,1.0
749,30,30,1.0
194,30,30,1.0
918,30,30,1.0
63,30,30,1.0
595,30,30,1.0
875,30,30,1.0
1186,30,30,1.0
187,30,30,1.0
477,30,30,1.0
171,30,30,1.0
913,30,30,1.0
178,30,30,1.0
544,30,30,1.0
401,30,30,1.0
427,30,30,1.0
237,30,30,1.0
1223,30,30,1.0
861,30,30,1.0
105,30,30,1.0
110,30,30,1.0
119,30,30,1.0
561,30,30,1.0
1086,30,30,1.0
1135,30,30,1.0
445,29,30,0.9667
936,29,30,0.9667
235,28,30,0.9333
45,28,30,0.9333
1129,28,30,0.9333
123,28,30,0.9333
502,26,30,0.8667
533,26,30,0.8667
1076,26,30,0.8667
270,26,30,0.8667
976,26,30,0.8667
290,25,30,0.8333
1078,25,30,0.8333
1058,25,30,0.8333
1401,24,30,0.8
352,24,30,0.8
357,23,30,0.7667
616,23,30,0.7667
867,22,30,0.7333
1239,22,30,0.7333
190,22,30,0.7333
627,20,30,0.6667
231,20,30,0.6667
1268,20,30,0.6667
26,20,30,0.6667
1308,19,30,0.6333
55,19,30,0.6333
887,19,30,0.6333
922,18,30,0.6
911,18,30,0.6
1087,17,30,0.5667
1100,17,30,0.5667
1351,17,30,0.5667
48,16,30,0.5333
804,15,30,0.5
592,15,30,0.5
914,15,30,0.5
716,15,30,0.5
1184,15,30,0.5
62,14,30,0.4667
182,14,30,0.4667
385,14,30,0.4667
926,14,30,0.4667
578,13,30,0.4333
1138,13,30,0.4333
975,13,30,0.4333
120,13,30,0.4333
1327,13,30,0.4333
466,13,30,0.4333
106,11,30,0.3667
152,11,30,0.3667
1166,11,30,0.3667
251,10,30,0.3333
653,10,30,0.3333
1365,10,30,0.3333
778,10,30,0.3333
1438,10,30,0.3333
760,9,30,0.3
127,9,30,0.3
205,8,30,0.2667
750,8,30,0.2667
968,8,30,0.2667
424,8,30,0.2667
415,8,30,0.2667
892,7,30,0.2333
326,7,30,0.2333
521,7,30,0.2333
1006,7,30,0.2333
1153,7,30,0.2333
1295,6,30,0.2
1009,6,30,0.2
956,6,30,0.2
1096,6,30,0.2
774,6,30,0.2
706,6,30,0.2
98,6,30,0.2
497,5,30,0.1667
1432,5,30,0.1667
473,5,30,0.1667
112,5,30,0.1667
701,4,30,0.1333
126,4,30,0.1333
1400,4,30,0.1333
994,4,30,0.1333
457,4,30,0.1333
440,4,30,0.1333
295,3,30,0.1
1057,3,30,0.1
545,3,30,0.1
347,3,30,0.1
29,3,30,0.1
281,3,30,0.1
1242,3,30,0.1
263,3,30,0.1
1368,3,30,0.1
688,3,30,0.1
1264,2,30,0.0667
1024,2,30,0.0667
1204,2,30,0.0667
752,2,30,0.0667
1225,2,30,0.0667
882,2,30,0.0667
792,2,30,0.0667
785,2,30,0.0667
1008,2,30,0.0667
1221,2,30,0.0667
362,2,30,0.0667
584,2,30,0.0667
314,1,30,0.0333
563,1,30,0.0333
1421,1,30,0.0333
915,1,30,0.0333
1007,1,30,0.0333
278,1,30,0.0333
748,1,30,0.0333
91,1,30,0.0333
95,1,30,0.0333
413,1,30,0.0333
977,1,30,0.0333
955,1,30,0.0333
937,1,30,0.0333
286,1,30,0.0333
791,1,30,0.0333
1331,1,30,0.0333
1140,1,30,0.0333
1056,1,30,0.0333
1403,1,30,0.0333
70,1,30,0.0333
1031,0,30,0.0
1034,0,30,0.0
1033,0,30,0.0
1041,0,30,0.0
1032,0,30,0.0
1048,0,30,0.0
983,0,30,0.0
1082,0,30,0.0
1081,0,30,0.0
984,0,30,0.0
970,0,30,0.0
985,0,30,0.0
986,0,30,0.0
987,0,30,0.0
1080,0,30,0.0
1059,0,30,0.0
1047,0,30,0.0
988,0,30,0.0
1030,0,30,0.0
1079,0,30,0.0
989,0,30,0.0
1029,0,30,0.0
990,0,30,0.0
982,0,30,0.0
1065,0,30,0.0
1015,0,30,0.0
1054,0,30,0.0
971,0,30,0.0
1052,0,30,0.0
1040,0,30,0.0
1088,0,30,0.0
972,0,30,0.0
1039,0,30,0.0
973,0,30,0.0
1050,0,30,0.0
1049,0,30,0.0
974,0,30,0.0
1038,0,30,0.0
1055,0,30,0.0
1085,0,30,0.0
1084,0,30,0.0
1037,0,30,0.0
1036,0,30,0.0
1035,0,30,0.0
978,0,30,0.0
979,0,30,0.0
980,0,30,0.0
981,0,30,0.0
1083,0,30,0.0
991,0,30,0.0
992,0,30,0.0
993,0,30,0.0
1028,0,30,0.0
1002,0,30,0.0
1068,0,30,0.0
1003,0,30,0.0
1004,0,30,0.0
1005,0,30,0.0
1020,0,30,0.0
1051,0,30,0.0
1019,0,30,0.0
1018,0,30,0.0
1063,0,30,0.0
1044,0,30,0.0
1043,0,30,0.0
1010,0,30,0.0
1011,0,30,0.0
1012,0,30,0.0
1064,0,30,0.0
1013,0,30,0.0
1067,0,30,0.0
1014,0,30,0.0
1017,0,30,0.0
1042,0,30,0.0
1016,0,30,0.0
1066,0,30,0.0
1001,0,30,0.0
1069,0,30,0.0
1070,0,30,0.0
1026,0,30,0.0
1060,0,30,0.0
1061,0,30,0.0
1062,0,30,0.0
1046,0,30,0.0
995,0,30,0.0
996,0,30,0.0
1027,0,30,0.0
997,0,30,0.0
998,0,30,0.0
1045,0,30,0.0
1025,0,30,0.0
1053,0,30,0.0
1023,0,30,0.0
1077,0,30,0.0
999,0,30,0.0
1075,0,30,0.0
1022,0,30,0.0
1021,0,30,0.0
1074,0,30,0.0
1073,0,30,0.0
1072,0,30,0.0
1071,0,30,0.0
1000,0,30,0.0
935,0,30,0.0
969,0,30,0.0
834,0,30,0.0
843,0,30,0.0
842,0,30,0.0
841,0,30,0.0
840,0,30,0.0
839,0,30,0.0
837,0,30,0.0
836,0,30,0.0
835,0,30,0.0
833,0,30,0.0
868,0,30,0.0
832,0,30,0.0
831,0,30,0.0
830,0,30,0.0
829,0,30,0.0
828,0,30,0.0
827,0,30,0.0
826,0,30,0.0
825,0,30,0.0
844,0,30,0.0
845,0,30,0.0
846,0,30,0.0
847,0,30,0.0
865,0,30,0.0
864,0,30,0.0
863,0,30,0.0
862,0,30,0.0
860,0,30,0.0
859,0,30,0.0
858,0,30,0.0
857,0,30,0.0
856,0,30,0.0
855,0,30,0.0
854,0,30,0.0
853,0,30,0.0
852,0,30,0.0
851,0,30,0.0
850,0,30,0.0
849,0,30,0.0
848,0,30,0.0
824,0,30,0.0
823,0,30,0.0
822,0,30,0.0
800,0,30,0.0
798,0,30,0.0
797,0,30,0.0
796,0,30,0.0
795,0,30,0.0
794,0,30,0.0
793,0,30,0.0
790,0,30,0.0
789,0,30,0.0
788,0,30,0.0
787,0,30,0.0
786,0,30,0.0
784,0,30,0.0
783,0,30,0.0
782,0,30,0.0
781,0,30,0.0
780,0,30,0.0
779,0,30,0.0
799,0,30,0.0
801,0,30,0.0
821,0,30,0.0
802,0,30,0.0
820,0,30,0.0
819,0,30,0.0
818,0,30,0.0
817,0,30,0.0
816,0,30,0.0
815,0,30,0.0
814,0,30,0.0
813,0,30,0.0
812,0,30,0.0
811,0,30,0.0
810,0,30,0.0
809,0,30,0.0
808,0,30,0.0
807,0,30,0.0
806,0,30,0.0
805,0,30,0.0
803,0,30,0.0
866,0,30,0.0
869,0,30,0.0
967,0,30,0.0
933,0,30,0.0
943,0,30,0.0
942,0,30,0.0
941,0,30,0.0
940,0,30,0.0
939,0,30,0.0
938,0,30,0.0
1090,0,30,0.0
934,0,30,0.0
932,0,30,0.0
870,0,30,0.0
931,0,30,0.0
930,0,30,0.0
929,0,30,0.0
928,0,30,0.0
927,0,30,0.0
925,0,30,0.0
924,0,30,0.0
923,0,30,0.0
944,0,30,0.0
945,0,30,0.0
946,0,30,0.0
947,0,30,0.0
966,0,30,0.0
965,0,30,0.0
964,0,30,0.0
963,0,30,0.0
962,0,30,0.0
961,0,30,0.0
960,0,30,0.0
959,0,30,0.0
958,0,30,0.0
957,0,30,0.0
954,0,30,0.0
953,0,30,0.0
952,0,30,0.0
951,0,30,0.0
950,0,30,0.0
949,0,30,0.0
948,0,30,0.0
921,0,30,0.0
920,0,30,0.0
919,0,30,0.0
893,0,30,0.0
890,0,30,0.0
889,0,30,0.0
888,0,30,0.0
886,0,30,0.0
885,0,30,0.0
884,0,30,0.0
883,0,30,0.0
881,0,30,0.0
880,0,30,0.0
879,0,30,0.0
878,0,30,0.0
877,0,30,0.0
876,0,30,0.0
874,0,30,0.0
873,0,30,0.0
872,0,30,0.0
871,0,30,0.0
891,0,30,0.0
894,0,30,0.0
917,0,30,0.0
895,0,30,0.0
916,0,30,0.0
912,0,30,0.0
910,0,30,0.0
909,0,30,0.0
908,0,30,0.0
907,0,30,0.0
906,0,30,0.0
905,0,30,0.0
904,0,30,0.0
903,0,30,0.0
902,0,30,0.0
901,0,30,0.0
900,0,30,0.0
899,0,30,0.0
898,0,30,0.0
897,0,30,0.0
896,0,30,0.0
1089,0,30,0.0
0,0,30,0.0
1091,0,30,0.0
1342,0,30,0.0
1350,0,30,0.0
1349,0,30,0.0
1348,0,30,0.0
1347,0,30,0.0
1346,0,30,0.0
1345,0,30,0.0
1344,0,30,0.0
1343,0,30,0.0
1341,0,30,0.0
1353,0,30,0.0
1340,0,30,0.0
1339,0,30,0.0
1338,0,30,0.0
1337,0,30,0.0
1336,0,30,0.0
1335,0,30,0.0
1334,0,30,0.0
1333,0,30,0.0
1352,0,30,0.0
1354,0,30,0.0
1283,0,30,0.0
1366,0,30,0.0
1375,0,30,0.0
1374,0,30,0.0
1373,0,30,0.0
1372,0,30,0.0
1371,0,30,0.0
1370,0,30,0.0
1369,0,30,0.0
1367,0,30,0.0
1364,0,30,0.0
1355,0,30,0.0
1363,0,30,0.0
1362,0,30,0.0
1361,0,30,0.0
