Nama Kolom,Tipe Fitur Asli,Metode Preprocessing,Alasan Preprocessing
Age,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
DailyRate,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
DistanceFromHome,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
Education,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
EnvironmentSatisfaction,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
HourlyRate,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
JobInvolvement,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
JobLevel,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
JobSatisfaction,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
MonthlyIncome,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
MonthlyRate,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
NumCompaniesWorked,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
PercentSalaryHike,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
PerformanceRating,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
RelationshipSatisfaction,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
StockOptionLevel,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
TotalWorkingYears,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
TrainingTimesLastYear,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
WorkLifeBalance,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
YearsAtCompany,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
YearsInCurrentRole,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
YearsSinceLastPromotion,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
YearsWithCurrManager,Numerik,StandardScaler / MinMaxScaler,Menyamakan skala data agar tidak ada fitur dominan dalam perhitungan model.
BusinessTravel_Travel_Frequently,Kategorikal (BusinessTravel),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
