No.;Nama Atribut;Tipe Data
1;Age;Numerik (Integer)
2;Attrition;Kategorikal (Teks)
3;BusinessTravel;Kategorikal (Teks)
4;DailyRate;Numerik (Integer)
5;Department;Kategorikal (Teks)
6;DistanceFromHome;Numerik (Integer)
7;Education;Numerik (Integer)
8;EducationField;Kategorikal (Teks)
9;EmployeeCount;Numerik (Integer)
10;EmployeeNumber;Numerik (Integer)
11;EnvironmentSatisfaction;Numerik (Integer)
12;Gender;Kategorikal (Teks)
13;HourlyRate;Numerik (Integer)
14;JobInvolvement;Numerik (Integer)
15;JobLevel;Numerik (Integer)
16;JobRole;Kategorikal (Teks)
17;JobSatisfaction;Numerik (Integer)
18;MaritalStatus;Kategorikal (Teks)
19;MonthlyIncome;Numerik (Integer)
20;MonthlyRate;Numerik (Integer)
21;NumCompaniesWorked;Numerik (Integer)
22;Over18;Kategorikal (Teks)
23;OverTime;Kategorikal (Teks)
24;PercentSalaryHike;Numerik (Integer)
25;PerformanceRating;Numerik (Integer)
26;RelationshipSatisfaction;Numerik (Integer)
27;StandardHours;Numerik (Integer)
28;StockOptionLevel;Numerik (Integer)
29;TotalWorkingYears;Numerik (Integer)
30;TrainingTimesLastYear;Numerik (Integer)
31;WorkLifeBalance;Numerik (Integer)
32;YearsAtCompany;Numerik (Integer)
33;YearsInCurrentRole;Numerik (Integer)
34;YearsSinceLastPromotion;Numerik (Integer)
35;YearsWithCurrManager;Numerik (Integer)
