run,spearman,r2,shap_top5
1,0.9395577424583532,0.9021916208295155,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
2,0.9602102795187607,0.9252603471986892,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
3,0.9470244834209498,0.9193733320326647,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|PercentSalaryHike|TotalWorkingYears
4,0.953849477547715,0.9106958882166095,BusinessTravel_Travel_Frequently|BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|PercentSalaryHike
5,0.9601951684821556,0.9195774388272127,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|OverTime_Yes|PercentSalaryHike
6,0.9581018176924267,0.9035147240101854,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
7,0.9642010098422432,0.9225499411638097,BusinessTravel_Travel_Frequently|BusinessTravel_Travel_Rarely|Department_Research & Development|MonthlyIncome|PercentSalaryHike
8,0.9602943346598779,0.9252884568285269,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
9,0.9560962998029664,0.9156659194645711,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
10,0.9583190388436279,0.9209577238814939,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
11,0.9606692772556469,0.9185102896756875,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
12,0.9536620062498303,0.9185491662418108,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
13,0.9630218767671355,0.9189732298970028,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
14,0.9537871445217181,0.916719094452874,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|TotalWorkingYears
15,0.9568839625860179,0.9197642840121031,BusinessTravel_Travel_Rarely|Department_Research & Development|MonthlyIncome|PercentSalaryHike|YearsAtCompany
16,0.9534735905121581,0.9097094190526079,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
17,0.9631267095835848,0.9212988693014516,Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike|YearsAtCompany
18,0.9420274525035329,0.9068976045684884,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
19,0.9614049958503678,0.9295447523531791,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
20,0.9547783340790474,0.9178639642802054,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
21,0.9547528342047759,0.9151396448978419,BusinessTravel_Travel_Rarely|Department_Research & Development|MonthlyIncome|PercentSalaryHike|YearsAtCompany
22,0.955582052338492,0.9244559989798664,Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike|TotalWorkingYears
23,0.9623234635440341,0.9295069225579652,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
24,0.9628344054692508,0.9136848943830619,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
25,0.9574034044693251,0.9196047769529264,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
26,0.9584295382988043,0.9178375214380132,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
27,0.9530518981468911,0.9108884378389163,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
28,0.9519884589457929,0.9081977842626068,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
29,0.9538513664272906,0.9190443867851243,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
30,0.9487735859080141,0.9129569406592846,BusinessTravel_Travel_Rarely|Department_Research & Development|EducationField_Life Sciences|MonthlyIncome|PercentSalaryHike
